url,type,status,http,title,titleLen,metaDescLen,canonical,h1,words,links,noindex,jsonld,faq,breadcrumb,app,failures
https://calcpromaster.netlify.app/,home,PASS,PASS,"CalcProMaster — 543+ Free Online Calculators",44,158,https://calcpromaster.netlify.app/,"CalcPro — 543+ Free Online Calculators",387,true,false,true,true,true,true,""
https://calcpromaster.netlify.app/about,legal,PASS,PASS,"About CalcProMaster | CalcProMaster",35,149,https://calcpromaster.netlify.app/about,"About CalcProMaster",400,true,false,true,false,false,false,""
https://calcpromaster.netlify.app/privacy,legal,PASS,PASS,"Privacy Policy | CalcProMaster",30,155,https://calcpromaster.netlify.app/privacy,"Privacy Policy",454,true,false,true,false,false,false,""
https://calcpromaster.netlify.app/terms,legal,PASS,PASS,"Terms of Service | CalcProMaster",32,142,https://calcpromaster.netlify.app/terms,"Terms of Service",445,true,false,true,false,false,false,""
https://calcpromaster.netlify.app/contact,legal,PASS,PASS,"Contact CalcProMaster | CalcProMaster",37,127,https://calcpromaster.netlify.app/contact,"Contact CalcProMaster",427,true,false,true,false,false,false,""
https://calcpromaster.netlify.app/disclaimer-general,legal,PASS,PASS,"General Disclaimer | CalcProMaster",34,126,https://calcpromaster.netlify.app/disclaimer-general,"General Disclaimer",305,true,false,true,false,false,false,""
https://calcpromaster.netlify.app/disclaimer-finance,legal,PASS,PASS,"Financial Disclaimer | CalcProMaster",36,145,https://calcpromaster.netlify.app/disclaimer-finance,"Financial Disclaimer",230,true,false,true,false,false,false,""
https://calcpromaster.netlify.app/disclaimer-health,legal,PASS,PASS,"Health Disclaimer | CalcProMaster",33,120,https://calcpromaster.netlify.app/disclaimer-health,"Health & Medical Disclaimer",236,true,false,true,false,false,false,""
https://calcpromaster.netlify.app/auto,category,PASS,PASS,"Auto &amp; Transport Calculators",32,71,https://calcpromaster.netlify.app/auto,"Auto & Transport Calculators",446,true,false,true,false,true,false,""
https://calcpromaster.netlify.app/hub/auto,hub,PASS,PASS,"Auto &amp; Transport Calculators Comparison — CalcPro",53,126,https://calcpromaster.netlify.app/hub/auto,"Auto & Transport Calculators Comparison",460,true,false,true,false,true,false,""
